;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
638;31.8;;2;31.8;15.9;439;;;;8;3.0;14.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
639;304.59;;2;304.59;152.3;1;0.0;0.0;0.0;0;;;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
640;71.8;;2;71.8;35.9;4;0.0;0.0;1.0;1;;1.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
641;302.6;;3;302.6;100.87;15;0.0;0.0;2.0;1;1.0;1.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
642;99.9;;3;99.9;33.3;109;0.0;0.0;2.0;2;2.0;5.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
643;493.6;;3;493.6;164.53;66;0.0;0.0;2.0;2;2.0;5.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
644;249.18;;5;256.7;51.34;16;0.0;0.0;0.0;0;;;2;66;True;2;0.0;0.0;True;1.0;30.0;66.0;False;0;1200.0;16
645;637.2;;4;637.2;159.3;55;0.0;0.0;0.0;0;;;1;36;False;1;0.0;1.0;False;2.0;1.0;2.0;True;12;3500.0;63
646;251.85;;3;251.85;83.95;63;0.0;1.0;0.0;0;1.0;;1;36;False;1;0.0;1.0;False;2.0;1.0;2.0;True;12;3500.0;63
647;70.0;;1;70.0;70.0;6;0.0;0.0;0.0;0;;;1;51;False;1;0.0;1.0;False;1.0;10.0;1.0;True;16;1200.0;6
648;285.0;;3;285.0;95.0;3;0.0;0.0;0.0;0;;;2;48;True;2;0.0;1.0;False;1.0;12.0;77.0;True;6;940.0;3
649;302.8;;4;302.8;75.7;933;0.0;0.0;0.0;0;;;2;24;False;1;0.0;0.0;False;4.0;6.0;77.0;True;6;789.63;933
650;568.0;;6;736.08;122.68;19;0.0;0.0;0.0;0;;;2;34;True;6;4.0;0.0;True;1.0;10.0;24.0;True;8;545.0;19
651;412.97;;5;420.45;84.09;-2;0.0;0.0;0.0;0;;;2;34;False;2;0.0;0.0;True;1.0;2.0;66.0;True;7;900.0;553
652;420.0;;5;427.5;85.5;26;0.0;0.0;0.0;1;;0.0;2;34;False;2;0.0;0.0;True;1.0;2.0;66.0;True;7;900.0;553
653;533.77;;6;542.76;90.46;553;0.0;0.0;0.0;2;;0.0;2;34;False;2;0.0;0.0;True;1.0;2.0;66.0;True;7;900.0;553
654;217.8;;4;217.8;54.45;902;0.0;0.0;0.0;0;;;1;26;False;1;0.0;0.0;True;1.0;3.0;76.0;True;7;815.0;902
655;271.8;;3;276.72;92.24;-4;0.0;0.0;0.0;0;;;2;63;False;2;0.0;1.0;True;1.0;20.0;72.0;False;0;900.0;43
656;259.0;;3;260.28;86.76;2;0.0;0.0;0.0;1;;0.0;2;63;False;2;0.0;1.0;True;1.0;20.0;72.0;False;0;900.0;43
657;80.5;;3;85.08;28.36;35;0.0;0.0;0.0;1;1.0;0.0;2;63;False;2;0.0;1.0;True;1.0;20.0;72.0;False;0;900.0;43
